	MaxGSet	ModAnode	OpsGSetMax	PhaseRMS	Q0	QExternal	TripOffset	TripSlope
1L19-1	11.0		6.65	0.045	4790000000.0	4870000.0		
1L19-2	11.0		9.7	0.05	2260000000.0	5040000.0		
1L19-3	8.1	0.7	7.55	0.05	5170000000.0	5490000.0		
1L19-4	9.6		6.8	0.045	1430000000.0	5880000.0	8.391	1.72
1L19-5	7.5	0.9	5.25	0.051	5810000000.0	5150000.0	6.463	2.044
1L19-6	10.3		7.46	0.039	1670000000.0	4660000.0	9.858	4.423
1L19-7	7.8	0.6	7.8	0.057	5250000000.0	5160000.0	6.837	2.164
1L19-8	8.2		8.2	0.05	6890000000.0	4950000.0	7.093	1.923
1L20-1	10.3		10.3	0.059	2780000000.0	6070000.0	8.838	1.46
1L20-2	7.9		7.9	0.051	2790000000.0	7000000.0	6.804	1.841
1L20-3	7.1		7.1	0.051	2960000000.0	6080000.0	6.153	2.25
1L20-4	12.8		9.75	0.059	1890000000.0	5670000.0	9.72	0.677
1L20-5	11.5		10.95	0.074	4790000000.0	7700000.0	9.795	1.239
1L20-6	10.3		10.3	0.052	4120000000.0	5930000.0	8.615	1.211
1L20-7	9.4		9.4	0.061	1680000000.0	4770000.0	8.418	2.063
1L20-8	9.1		9.1	0.041	1240000000.0	6080000.0	7.609	1.387
1L21-1	7.2		1.5	0.112	1710000000.0	8000000.0	6.141	2.053
1L21-2	7.8		7.8	0.094	1090000000.0	8600000.0	6.707	1.876
1L21-3	12.0		8.0	0.074	1830000000.0	7900000.0		
1L21-4	11.0	1.4	9.4	0.064	1570000000.0	8100000.0		
1L21-5	9.8		1.9	0.066	1460000000.0	8100000.0	8.04	1.198
1L21-6	6.8	0.5	6.8	0.061	5480000000.0	6360000.0	3.604	0.66
1L21-7	8.8		8.2	0.072	4150000000.0	6840000.0	7.804	2.088
1L21-8	6.1		1.2	0.076	1430000000.0	6020000.0	5.007	1.959
1L22-1	23.6		13.85	0.1	7970000000.0	29100000.0		
1L22-2	24.85		14.0	0.1	7550000000.0	25000000.0		
1L22-3	23.8		13.0	0.1	8110000000.0	22400000.0		
1L22-4	24.45		15.0	0.1	8550000000.0	21800000.0		
1L22-5	25.0		14.0	0.1	9390000000.0	26900000.0		
1L22-6	25.0		15.0	0.1	10600000000.0	30100000.0		
1L22-7	24.63		15.0	0.1	7570000000.0	34600000.0		
1L22-8	23.2		15.0	0.1	7700000000.0	35700000.0		
1L23-1	18.6		10.0	0.1	4160000000.0	29500000.0		
1L23-2	24.18		19.0	0.1	7030000000.0	29900000.0		
1L23-3	25.0		19.0	0.1	7040000000.0	25000000.0		
1L23-4	25.0		19.0	0.1	6900000000.0	25600000.0		
1L23-5	25.0		16.0	0.1	9160000000.0	28000000.0		
1L23-6	25.0		13.5	0.1	4580000000.0	24000000.0		
1L23-7	23.93		20.0	0.1	6890000000.0	29400000.0		
1L23-8	23.75		16.5	0.1	6790000000.0	29100000.0		
1L24-1	25.0		16.5	0.1	9400000000.0	45300000.0		
1L24-2	25.0		15.5	0.1	7200000000.0	26800000.0		
1L24-3	25.0		17.0	0.1	8900000000.0	22600000.0		
1L24-4	24.38		18.0	0.1	8050000000.0	25000000.0		
1L24-5	24.55		17.5	0.1	7320000000.0	23100000.0		
1L24-6	23.03		16.0	0.1	7190000000.0	24500000.0		
1L24-7	23.95		12.0	0.1	5570000000.0	23300000.0		
1L24-8	25.0		14.85	0.1	7450000000.0	25800000.0		
1L25-1	25.0		25.0	0.1	5370000000.0	38100000.0		
1L25-2	25.0		20.5	0.1	5530000000.0	32500000.0		
1L25-3	25.0		19.3	0.1	5720000000.0	34800000.0		
