	MaxGSet	ModAnode	OpsGSetMax	PhaseRMS	Q0	QExternal	TripOffset	TripSlope
2L14-5	10.7		9.3	0.069	8240000000.0	8000000.0	9.274	1.474
2L14-6	14.0		11.2	0.099	4140000000.0	8100000.0	15.534	0.547
2L14-7	12.8		11.2	0.082	2390000000.0	8000000.0	11.334	1.41
2L14-8	8.9	0.6	8.9	0.062	6130000000.0	8180000.0	7.73	1.813
2L15-1	14.0		11.6	0.07	2910000000.0	8400000.0		
2L15-2	14.0		10.3	0.07	2700000000.0	8400000.0		
2L15-3	14.0		13.3	0.07	4190000000.0	8400000.0		
2L15-4	14.0		9.6	0.07	1960000000.0	8400000.0		
2L15-5	14.0	0.5	14.0	0.07	8190000000.0	8400000.0		
2L15-6	14.0		9.1	0.07	4650000000.0	8400000.0		
2L15-7	14.0		12.5	0.07	4560000000.0	8400000.0		
2L15-8	14.0		8.3	0.07	4920000000.0	8400000.0		
2L16-1	14.0		9.8	0.094	1930000000.0	8400000.0		
2L16-2	14.0		8.0	0.084	1550000000.0	8400000.0		
2L16-3	14.0	1.7	9.1	0.082	2090000000.0	8400000.0		
2L16-4	14.0		10.0	0.062	743000000.0	8400000.0		
2L16-5	14.0		5.0	0.076	4370000000.0	8400000.0		
2L16-6	14.0		8.0	0.055	1660000000.0	8400000.0		
2L16-7	14.0		11.7	0.097	1380000000.0	8400000.0		
2L16-8	14.0		9.9	0.149	1920000000.0	8400000.0		
2L17-1	10.8		10.8	0.07	6350000000.0	6780000.0	8.22	0.816
2L17-2	10.3		10.3	0.071	3900000000.0	6510000.0	8.092	0.949
2L17-3	11.5		11.5	0.131	6600000000.0	7900000.0	10.247	1.602
2L17-4	12.3		12.3	0.092	3400000000.0	8500000.0	11.352	2.246
2L17-5	8.7		4.3	0.069	4040000000.0	6000000.0	8.425	7.916
2L17-6	12.3	0.3	12.0	0.067	4050000000.0	8100000.0	10.314	1.044
2L17-7	8.8		7.5	0.063	3460000000.0	6230000.0	7.706	1.884
