	MaxGSet	OpsGSetMax	PhaseRMS	TripOffset	TripSlope	Q0	Length
1L25-5	25.0	13.5	0.1	0.0	0.0	5940000000.0	0.7
1L25-6	25.0	14.0	0.1	0.0	0.0	5660000000.0	0.7
1L25-7	24.18	14.0	0.1	0.0	0.0	4900000000.0	0.7
1L25-8	25.0	14.1	0.1	0.0	0.0	4680000000.0	0.7
1L26-1	24.45	16.5	0.1	0.0	0.0	7920000000.0	0.7
1L26-2	25.0	16.0	0.1	0.0	0.0	11100000000.0	0.7
1L26-3	22.03	8.7	0.1	0.0	0.0	6890000000.0	0.7
1L26-4	21.85	12.0	0.1	0.0	0.0	6640000000.0	0.7
1L26-5	24.4	15.4	0.1	0.0	0.0	8370000000.0	0.7
1L26-6	25.0	11.0	0.1	0.0	0.0	10400000000.0	0.7
1L26-7	25.0	14.0	0.1	0.0	0.0	9630000000.0	0.7
1L26-8	21.6	13.0	0.1	0.0	0.0	3960000000.0	0.7
